BTC     |       bitcoin
ETH     |       ethereum
USDT    |       tether
BNB     |       binance-coin
USDC    |       usd-coin
XRP     |       xrp
SOL     |       solana
ADA     |       cardano
DOGE    |       dogecoin
TRX     |       tron
DAI     |       multi-collateral-dai
MATIC   |       polygon
DOT     |       polkadot
WBTC    |       wrapped-bitcoin
LTC     |       litecoin
BCH     |       bitcoin-cash
LINK    |       chainlink
SHIB    |       shiba-inu
LEO     |       unus-sed-leo
TUSD    |       trueusd
AVAX    |       avalanche
XLM     |       stellar
XMR     |       monero
OKB     |       okb
UNI     |       uniswap
ETC     |       ethereum-classic
BUSD    |       binance-usd
ATOM    |       cosmos
BTCB    |       bitcoin-bep2
FIL     |       filecoin
ICP     |       internet-computer
MKR     |       maker
LDO     |       lido-dao
CRO     |       crypto-com-coin
VET     |       vechain
QNT     |       quant
NEAR    |       near-protocol
AAVE    |       aave
STX     |       stacks
BSV     |       bitcoin-sv
GRT     |       the-graph
ALGO    |       algorand
HBAR    |       hedera-hashgraph
RNDR    |       render-token
XTZ     |       tezos
SAND    |       the-sandbox
EOS     |       eos
INJ     |       injective-protocol
THETA   |       theta
AXS     |       axie-infinity
EGLD    |       elrond-egld
XDC     |       xinfin-network
RUNE    |       thorchain
MANA    |       decentraland
FTM     |       fantom
KAVA    |       kava
XEC     |       ecash
USDP    |       paxos-standard
NEO     |       neo
SNX     |       synthetix-network-token
FLOW    |       flow
TWT     |       trust-wallet-token
CHZ     |       chiliz
KCS     |       kucoin-token
ZEC     |       zcash
FEI     |       fei-protocol
FXS     |       frax-share
IOTA    |       iota
KLAY    |       klaytn
CRV     |       curve-dao-token
RPL     |       rocket-pool
HT      |       huobi-token
MINA    |       mina
CFX     |       conflux-network
GT      |       gatetoken
CSPR    |       casper
DYDX    |       dydx
FTT     |       ftx-token
GALA    |       gala
COMP    |       compound
NEXO    |       nexo
WOO     |       wootrade
ZIL     |       zilliqa
DASH    |       dash
1INCH   |       1inch
ROSE    |       oasis-network
BAT     |       basic-attention-token
AR      |       arweave
GNO     |       gnosis-gno
CAKE    |       pancakeswap
XEM     |       nem
QTUM    |       qtum
ELF     |       aelf
GUSD    |       gemini-dollar
HOT     |       holo
JST     |       just
LRC     |       loopring
CVX     |       convex-finance
CELO    |       celo
ENJ     |       enjin-coin
